agebin,month,Cases,Pop,Year,Run_Number,Sample_ID
5,3,0.2867899909616,1018.166666667,2015,0,85.0
0,4,0,0,2015,0,85.0
5,4,0.358276348561,1018.766666667,2015,0,85.0
0,5,0,0,2015,0,85.0
5,5,0.5486928205937,1020,2015,0,85.0
0,6,0,0,2015,0,85.0
5,6,0.7881048247218,1018.9,2015,0,85.0
0,7,0,0,2015,0,85.0
5,7,0.5736175328493,1018.1,2015,0,85.0
0,8,0,0,2015,0,85.0
5,8,0.5018003415316,1018.333333333,2015,0,85.0
0,9,0,0,2015,0,85.0
5,9,0.5394442845136,1014.933333333,2015,0,85.0
0,10,0,0,2015,0,85.0
5,10,0.7308866307139,1015.433333333,2015,0,85.0
0,11,0,0,2015,0,85.0
5,11,0.7418942134827,1016.766666667,2015,0,85.0
0,12,0,0,2015,0,85.0
5,12,0.7664042115211,1016,2015,0,85.0
0,1,0,0,2013,0,82.0
5,1,0.7728138752282,944.6,2013,0,82.0
0,2,0,0,2013,0,82.0
5,2,0.5410270169377,944.5,2013,0,82.0
0,3,0,0,2013,0,82.0
5,3,0.7848079167306,945.6666666667,2013,0,82.0
0,4,0,0,2013,0,82.0
5,4,1.103377949446,948.3,2013,0,82.0
0,5,0,0,2013,0,82.0
5,5,1.0519101955,948.4333333333,2013,0,82.0
0,6,0,0,2013,0,82.0
5,6,0.9383363975212,946.5333333333,2013,0,82.0
0,7,0,0,2013,0,82.0
5,7,0.9930744282901,943.3666666667,2013,0,82.0
0,8,0,0,2013,0,82.0
5,8,0.9422186333686,942.6333333333,2013,0,82.0
0,9,0,0,2013,0,82.0
5,9,0.7108459528536,941.3666666667,2013,0,82.0
0,10,0,0,2013,0,82.0
5,10,0.7769263722003,939.6,2013,0,82.0
0,11,0,0,2013,0,82.0
5,11,0.7653351454064,937.9333333333,2013,0,82.0
0,12,0,0,2013,0,82.0
5,12,0.6354140667245,938.2333333333,2013,0,82.0
0,1,0,0,2014,0,82.0
5,1,0.6233987957239,936.8,2014,0,82.0
0,2,0,0,2014,0,82.0
5,2,0.8578754235059,936.0333333333,2014,0,82.0
0,3,0,0,2014,0,82.0
5,3,0.7904640445486,938.9,2014,0,82.0
0,4,0,0,2014,0,82.0
